Disease,Treatment,Medicinal Composition,Ingredients to Avoid,Recommended Diet,Precautionary Measures,
Common Cold,"Rest, hydration, decongestants, antihistamines","Paracetamol, pseudoephedrine, chlorpheniramine","Caffeine, alcohol, strong fragrances","Warm fluids, vitamin C-rich foods, soup","Wash hands regularly, avoid close contact",
Influenza (Flu),"Antiviral drugs, rest, fluids","Oseltamivir, paracetamol, ibuprofen","Processed foods, dairy (if causing mucus)","Broth, garlic, fruits, leafy greens","Vaccination, hygiene, avoid crowds",
Diabetes,"Insulin therapy, oral hypoglycemics","Metformin, insulin, sulfonylureas","Sugars, trans fats, refined carbs","Low-carb diet, whole grains, lean protein","Monitor glucose, exercise, regular check-ups",
Hypertension,"Lifestyle changes, antihypertensive drugs","Amlodipine, losartan, enalapril","Sodium, caffeine, alcohol","DASH diet, potassium-rich foods, low-salt meals","Regular BP monitoring, reduce stress",
Asthma,"Inhaled corticosteroids, bronchodilators","Salbutamol, budesonide, montelukast","Dust, smoke, strong odors","Anti-inflammatory foods, omega-3s, vitamin D","Avoid triggers, carry inhaler, use air purifier",
Pneumonia,"Antibiotic therapy (for bacterial), antiviral/antifungal (if applicable), oxygen therapy, fever reducers, hospitalization in severe cases","Azithromycin, amoxicillin, ceftriaxone, levofloxacin, oseltamivir (if viral)","Alcohol (interferes with antibiotics), tobacco smoke, cold air inhalants, high-fat dairy (may increase mucus)","Warm fluids (soup, tea), high-protein diet, vitamin C-rich foods (citrus, bell peppers), antioxidant-rich foods (berries, leafy greens), adequate hydration","Get vaccinated (pneumococcal, flu), avoid smoking, maintain hygiene, rest adequately, wear a mask in polluted or crowded areas, seek early medical attention for respiratory infections",
COVID-19,"oxygen therapy, corticosteroids, and hospitalization if needed","Paracetamol, dexamethasone, remdesivir, favipiravir, molnupiravir, nirmatrelvir/ritonavir (Paxlovid)","Alcohol (weakens immunity), high-sugar and ultra-processed foods, cold beverages, smoking products","Immune-boosting foods like citrus fruits, turmeric, ginger, garlic, lean protein,","Wear masks in crowded places, maintain physical distancing, hand hygiene, vaccination (COVID-19 vaccines and boosters),",
Tuberculosis,"Long-term antibiotic regimen (6–9 months), usually a combination of four drugs in the initial phase followed by two drugs in the continuation phase","Isoniazid, rifampin (rifampicin), ethambutol, pyrazinamide (initial 2 months), followed by isoniazid and rifampin (next 4–7 months)","Alcohol (interferes with TB drugs, especially isoniazid), tobacco, greasy/spicy foods (may irritate stomach), raw/undercooked meat (if immunity is low)","High-protein and calorie-rich diet, eggs, milk, lean meat, legumes, nuts, fruits (especially vitamin C-rich), green leafy vegetables, whole grains","Take full course of medication without skipping, maintain good ventilation, wear a mask to prevent spread, regular follow-up with healthcare provider, isolate during active TB phase, good personal hygiene",
Chickenpox,"Symptomatic treatment: rest, fever reducers, antihistamines for itching, calamine lotion, antiviral medications in high-risk cases (e.g., adults, immunocompromised)","Acetaminophen (paracetamol), calamine lotion, diphenhydramine (for itching), acyclovir (antiviral)","Aspirin (can cause Reye’s syndrome), spicy/salty foods (can irritate mouth sores), processed sugary foods","Soft and bland foods, cold liquids, vitamin C-rich fruits (like oranges), immune-boosting foods like yogurt, honey, soups, coconut water","Isolate infected individual until all blisters scab, avoid scratching (trim nails), wear loose clothing, maintain hygiene, vaccination (varicella vaccine) for prevention",
Measles,"No specific antiviral treatment; supportive care with rest, fever control, hydration, and nutritional support; vitamin A supplements recommended, especially in children","Paracetamol (fever), ibuprofen (inflammation), vitamin A (supplements), oral rehydration salts (ORS)","Sugary snacks (weaken immunity), processed foods, spicy or fried foods (can worsen sore throat or diarrhea), caffeine","Fluids (water, ORS, coconut water), vitamin A-rich foods (carrots, spinach, sweet potatoes), fresh fruits, soft foods like porridge, soups","Isolate infected person, maintain good hygiene, ensure vaccination (MMR: Measles, Mumps, Rubella), avoid crowded places during outbreaks, disinfect commonly touched surfaces",
Urinary Tract Infection,"Antibiotic therapy, increased fluid intake, urinary analgesics for pain relief; cranberry products may be used for prevention but not treatment","Nitrofurantoin, trimethoprim-sulfamethoxazole (TMP-SMX), ciprofloxacin, phenazopyridine (for pain)","Caffeine, alcohol, spicy foods, acidic foods (tomatoes, citrus), artificial sweeteners — all can irritate the bladder","Plenty of water, cranberry juice (unsweetened), probiotics (yogurt), vitamin C-rich foods (oranges, kiwi), herbal teas (like chamomile)","Maintain personal hygiene, urinate after intercourse, wipe front to back, avoid holding urine for long periods, wear breathable cotton underwear, avoid scented hygiene products in the genital area",
Gastroenteritis,"Rehydration with oral rehydration salts (ORS), rest, antiemetics (for vomiting), antidiarrheal (in some cases), antibiotics only if bacterial cause confirmed","ORS, zinc supplements (especially in children), ondansetron (for vomiting), loperamide (for diarrhea, not for children), ciprofloxacin or metronidazole (if bacterial or parasitic)","Dairy products (temporary lactose intolerance), caffeine, alcohol, spicy and oily foods, high-fiber foods, sugary drinks (can worsen diarrhea)","BRAT diet (Bananas, Rice, Applesauce, Toast), clear soups, boiled potatoes, coconut water, probiotic-rich foods like curd or yogurt (after acute phase), electrolyte drinks","Wash hands regularly, avoid street food and contaminated water, properly cook meat and seafood, maintain kitchen hygiene, isolate if infectious, sanitize surfaces, keep hydrated",
Fungal infection,Topical antifungal creams or ointments for mild cases; oral antifungals for moderate to severe or systemic infections; hygiene improvement and avoiding moisture buildup,"Clotrimazole, miconazole, terbinafine, fluconazole, itraconazole (oral for severe/systemic infections)","Moisturizing or oily products on infected areas, tight or non-breathable clothing, perfumed or harsh soaps, sugar-rich foods (can worsen yeast overgrowth in candidiasis)","Probiotic-rich foods (yogurt, kefir), low-sugar diet, garlic (natural antifungal), fiber-rich vegetables (spinach, broccoli), lean proteins","Keep affected area dry and clean, wear breathable cotton clothing, avoid sharing personal items (towels, shoes), complete full antifungal treatment, maintain personal hygiene, avoid walking barefoot in public showers or pools",
Skin Allergy,"Avoidance of allergens, topical corticosteroids, oral antihistamines, moisturizing creams, cold compresses, and in severe cases, immunotherapy","Hydrocortisone cream, betamethasone, cetirizine, loratadine, diphenhydramine, calamine lotion, tacrolimus (for eczema)","Fragrances, parabens, sulfates, nickel, lanolin, harsh detergents, alcohol-based skincare products","Anti-inflammatory foods: fatty fish (omega-3), turmeric, green leafy vegetables, vitamin C-rich fruits (oranges, strawberries), nuts, seeds, and plenty of water","Identify and avoid allergens (via patch testing if needed), use hypoallergenic skincare products, moisturize daily, wear breathable clothing, avoid excessive heat and sweating, keep nails trimmed to avoid scratching and infections",
Chronic Cholecystits,"Definitive treatment is surgical removal of the gallbladder (cholecystectomy); supportive care includes pain management, antibiotics (if infected), and dietary modifications pre-surgery","Ursodeoxycholic acid (for dissolving stones in select cases), antispasmodics (e.g., hyoscine butylbromide), NSAIDs for pain (e.g., ibuprofen), antibiotics like ceftriaxone or metronidazole (if infection present)","Fatty and fried foods, spicy foods, processed meat, butter, cream, egg yolks, and full-fat dairy (these trigger gallbladder attacks)","Low-fat diet, high in fiber; include leafy greens, whole grains, fruits, lean protein (e.g., skinless chicken, fish), use olive oil in moderation; drink plenty of water","Maintain a healthy weight, eat regular meals (avoid skipping), avoid rapid weight loss, follow up with ultrasound and liver function tests, consider elective cholecystectomy to prevent complications (e.g., gallbladder rupture or bile duct blockage)",
Peptic ulcer,"Eradication of H. pylori (if present), acid suppression with PPIs (proton pump inhibitors), antacids for symptom relief, discontinuation of NSAIDs, lifestyle and diet changes","Omeprazole / esomeprazole / pantoprazole (PPIs), clarithromycin + amoxicillin/metronidazole (for H. pylori triple therapy), sucralfate (mucosal protectant), antacids","NSAIDs (e.g., ibuprofen, aspirin), alcohol, caffeine, spicy foods, acidic fruits (like citrus and tomatoes), carbonated drinks, smoking","Easily digestible foods like bananas, rice, boiled vegetables, oatmeal, yogurt, lean meat; foods rich in flavonoids (apples, berries, green tea), and high-fiber foods","Complete antibiotic and PPI course (if H. pylori positive), avoid NSAIDs and smoking, eat smaller frequent meals, reduce stress, avoid lying down immediately after eating, get regular check-ups to monitor healing",
AIDS,"No cure, but Antiretroviral Therapy (ART) is the standard treatment to control the virus, reduce viral load, improve immune function, and prevent opportunistic infections. Lifelong adherence is critical.","ART Medications (combination therapy),Prophylactic meds Treatment for opportunistic infections as needed (e.g., antifungals, antivirals, antibiotics) |","Raw or undercooked meat, fish, or eggs (risk of infection),Alcohol and recreational drugs (interfere with ART,Excessively sugary or processed foods (weaken immunity)","High-protein diet (lean meats, eggs, legumes),Vitamin-rich foods (especially B12, A, C, D, E),Probiotics (curd/yogurt),Antioxidant-rich fruits and vegetables,Avoid food contamination and ensure hygienic food preparation

","Strict adherence to ART regimen,Regular CD4 count and viral load monitoring,Safe sex practices (use condoms),Avoid exposure to infections (good hygiene, vaccinations),Avoid sharing needles or personal items,Regular health checkups for early detection of opportunistic infections",
Nail fungus,Antifungal medications (topical or oral) like terbinafine or itraconazole are commonly used to treat nail fungus.,"Antifungal agents such as terbinafine, ciclopirox, and amorolfine are the main active ingredients in treatments.",Avoid using nail polishes or cosmetic products containing harsh chemicals like formaldehyde or toluene that can worsen the infection.,"A balanced diet rich in probiotics, vitamins (especially biotin and vitamin E), and low in sugar supports nail health and immune defense.","Keep nails clean and dry, avoid sharing nail clippers, wear breathable footwear, and disinfect nail tools regularly to prevent reinfection.",
ACNE,"Use topical retinoids, benzoyl peroxide, or oral antibiotics to reduce inflammation and bacterial growth.","Common active ingredients include salicylic acid, benzoyl peroxide, adapalene, and clindamycin.","Avoid heavy oils, comedogenic skincare products, and harsh irritants like alcohol-based toners.","A low-glycemic diet rich in fruits, vegetables, and omega-3 fatty acids helps reduce acne severity.","Maintain gentle skin hygiene, avoid excessive scrubbing, and refrain from picking or squeezing pimples to prevent scarring.",
Migraine,"Use pain relievers, triptans, and preventive medications like beta-blockers or anticonvulsants to manage migraines.","Common drugs include sumatriptan, ibuprofen, ergotamine, and propranolol.","Avoid caffeine, alcohol, aged cheeses, and foods with MSG or nitrates that can trigger migraines.","Maintain regular meals with hydration, magnesium-rich foods, and avoid known dietary triggers.","Manage stress, maintain consistent sleep patterns, avoid bright lights and loud noises, and keep a migraine diary to identify triggers.",
Cervical spondylosis,"Use pain relievers, muscle relaxants, physical therapy, and sometimes corticosteroid injections to relieve symptoms.","Common medications include NSAIDs like ibuprofen, muscle relaxants, and sometimes neuropathic pain agents like gabapentin.",Avoid excessive caffeine and inflammatory foods that may worsen pain and inflammation.,"A balanced diet rich in calcium, vitamin D, and anti-inflammatory foods supports bone and joint health.","Maintain good posture, avoid repetitive neck strain, do regular neck exercises, and use ergonomic furniture to prevent progression.",
Paralysis,"Physical therapy, occupational therapy, and medications to manage symptoms and improve mobility are commonly used.","Muscle relaxants, anticoagulants, and neuroprotective agents like baclofen and corticosteroids may be prescribed.","Avoid alcohol, sedatives, and any substances that can worsen neurological function or interact negatively with medications.","A nutrient-rich diet with vitamins B12, D, antioxidants, and adequate protein supports nerve health and recovery.","Prevent injury, manage underlying causes, maintain proper body positioning, and follow rehabilitation protocols to avoid complications",
Jaundice,"Treat the underlying cause with medications, hydration, and sometimes phototherapy or surgery if needed.","Depending on cause, may include antiviral drugs, steroids, or bile acid binders.","Avoid alcohol, fatty foods, and hepatotoxic drugs that can worsen liver function.","Eat a light, balanced diet rich in fruits, vegetables, and adequate fluids to support liver health.","Maintain good hygiene, avoid sharing personal items, and manage underlying liver conditions to prevent worsening.",
Malaria,"Use antimalarial drugs like chloroquine, artemisinin-based combination therapies (ACTs), or quinine to eliminate the parasite.","Common medications include artemether-lumefantrine, chloroquine, mefloquine, and primaquine.",Avoid untreated water and insect bites; avoid self-medicating with ineffective or counterfeit drugs.,"Maintain a nutritious diet with plenty of fluids, iron-rich foods, and vitamins to support recovery.","Use insecticide-treated mosquito nets, apply repellents, eliminate standing water, and take prophylactic antimalarials when traveling to endemic areas.",
Dengue,"Supportive care with hydration, fever reducers like acetaminophen, and close monitoring for complications is essential.","No specific antiviral drugs; treatment focuses on fluids, acetaminophen, and sometimes platelet transfusions in severe cases.",Avoid NSAIDs like aspirin and ibuprofen to reduce bleeding risk.,"Eat light, nutritious meals rich in fluids, fruits, and easily digestible foods to support recovery.","Use mosquito repellents, eliminate stagnant water, wear protective clothing, and use mosquito nets to prevent bites.",
Typhoid,Use prescribed antibiotics like ciprofloxacin or azithromycin to eradicate the Salmonella bacteria.,"Common antibiotics include ciprofloxacin, azithromycin, and ceftriaxone.","Avoid raw or undercooked foods, unpasteurized dairy, and contaminated water to prevent worsening infection.","Eat easily digestible, hygienic, and nutrient-rich foods with plenty of fluids to aid recovery.","Practice good sanitation, drink safe water, wash hands frequently, and get vaccinated in endemic areas.",
Hepatitis A,"Supportive care with rest, hydration, and avoidance of liver-stressing substances until recovery.",No specific antiviral drugs; treatment focuses on symptom relief and liver support.,"Avoid alcohol, fatty foods, and hepatotoxic medications to protect the liver.","Consume a balanced diet rich in fruits, vegetables, and fluids to support liver healing.","Practice good hygiene, avoid contaminated food and water, and get vaccinated to prevent infection.",
Hepatitis B,Antiviral medications like tenofovir or entecavir are used to control the virus and prevent liver damage.,"Common drugs include tenofovir, entecavir, and pegylated interferon.","Avoid alcohol, hepatotoxic drugs, and high-fat foods to reduce liver strain.","Eat a balanced, nutrient-rich diet with plenty of fruits, vegetables, and fluids to support liver health.","Practice safe sex, avoid sharing needles, get vaccinated, and maintain good hygiene to prevent transmission.",
Hepatitis C,Direct-acting antiviral (DAA) medications are used to cure hepatitis C in most cases.,"Common drugs include sofosbuvir, ledipasvir, velpatasvir, and glecaprevir/pibrentasvir.","Avoid alcohol, processed foods, and liver-toxic medications to prevent further liver damage.","Follow a liver-friendly diet rich in fruits, vegetables, lean protein, and plenty of water","Avoid sharing needles or personal items, practice safe sex, and get tested regularly if at risk to prevent spread.",
Hepatitis D,"Pegylated interferon-alpha is the primary treatment, though response rates can vary.",Pegylated interferon-alpha is the main therapeutic agent used.,"Avoid alcohol, recreational drugs, and hepatotoxic medications to prevent liver damage.","Eat a liver-friendly diet with fresh fruits, vegetables, whole grains, and adequate hydration.","Prevent hepatitis B infection through vaccination, avoid sharing needles, and practice safe sex, as hepatitis D only occurs with hepatitis B.",
Hepatitis E,"Supportive care with rest, hydration, and symptom management, as it usually resolves on its own.",No specific antiviral; ribavirin may be used in severe or chronic cases.,"Avoid alcohol, greasy foods, and hepatotoxic substances to protect the liver.","Follow a light, nutritious diet rich in fruits, vegetables, and fluids to support liver recovery.","Maintain good hygiene, drink safe water, avoid undercooked meat, and ensure proper sanitation to prevent infection.",
Alcocholic Hepatitis,"Immediate alcohol cessation, nutritional support, and corticosteroids for severe cases.",Common medications include corticosteroids (like prednisolone) and pentoxifylline in some cases,Strictly avoid all forms of alcohol and hepatotoxic drugs.,"Follow a high-protein, calorie-rich, vitamin-supplemented diet to aid liver repair.","Abstain from alcohol permanently, attend counseling or rehab if needed, and monitor liver function regularly.",
Heart Attack,"Immediate medical attention with oxygen, pain relief, clot-busting drugs, angioplasty, or surgery.","Includes aspirin, nitroglycerin, beta-blockers, statins, and thrombolytics like alteplase.","Avoid trans fats, excessive salt, sugar, red meat, and tobacco products.","Follow a heart-healthy diet rich in fruits, vegetables, whole grains, lean proteins, and healthy fats.","Control blood pressure, cholesterol, and diabetes; avoid smoking; exercise regularly; and manage stress.",
Varicose veins,"Compression stockings, leg elevation, sclerotherapy, laser therapy, or surgery may be used.","Treatments include sclerosing agents (e.g., polidocanol), venoactive drugs like diosmin, and analgesics if needed.","Avoid high-sodium foods, processed carbs, and alcohol which can worsen swelling.","Eat a fiber-rich, low-salt diet with plenty of hydration to improve circulation and prevent constipation.","Avoid prolonged standing or sitting, maintain healthy weight, wear compression stockings, and exercise regularly.",
Hypothyroidism,Lifelong thyroid hormone replacement therapy with levothyroxine.,Levothyroxine (synthetic T4) is the primary medication used.,"Avoid excessive soy, cruciferous vegetables (if raw), and high-iodine or high-fiber foods near medication time.","Eat a balanced diet with adequate iodine, selenium, zinc, and avoid skipping meals to support thyroid function.","Take medication on an empty stomach, monitor TSH levels regularly, and manage stress and weight.",
Hypoglycemia,"Immediate intake of fast-acting carbohydrates like glucose tablets or juice, followed by a balanced snack.","Glucose tablets, dextrose injection, or glucagon may be used in severe cases.","Avoid alcohol, excessive caffeine, and high-sugar foods without protein or fiber to prevent spikes and crashes.","Eat small, frequent meals with complex carbs, fiber, and protein to maintain stable blood sugar levels.","Monitor blood glucose regularly, avoid skipping meals, and adjust medication or insulin as prescribed.",
Osteoarthristis,"Managed with pain relievers, physical therapy, joint injections, and sometimes joint replacement surgery.","Common medications include NSAIDs (e.g., ibuprofen), acetaminophen, corticosteroid injections, and hyaluronic acid.","Avoid processed foods, excessive sugar, and trans fats that can worsen inflammation.","Follow an anti-inflammatory diet rich in omega-3s, antioxidants, calcium, and vitamin D.","Maintain a healthy weight, stay physically active with joint-friendly exercises, and avoid high-impact activities.",
Arthritis,"Managed with pain relievers, anti-inflammatory drugs, physical therapy, and sometimes disease-modifying medications.","Includes NSAIDs, corticosteroids, DMARDs (like methotrexate), and biologics for autoimmune types.","Avoid processed foods, refined sugars, trans fats, and excessive red meat that trigger inflammation.","Follow an anti-inflammatory diet rich in omega-3s, whole grains, fruits, vegetables, and calcium.","Maintain a healthy weight, do low-impact exercise, protect joints, and follow medication and therapy plans consistently.",
Paroxysmal Positional Vertigo,Canalith repositioning maneuvers like the Epley maneuver effectively relieve symptoms.,"No specific medications; vestibular suppressants (e.g., meclizine) may be used temporarily for nausea.","Avoid caffeine, alcohol, and sedatives that can worsen dizziness or imbalance.",Maintain hydration and a balanced diet to support overall nervous system health.,Maintain hydration and a balanced diet to support overall nervous system health.,
Psoriasis,"Use topical corticosteroids, vitamin D analogs, phototherapy, and systemic immunosuppressants for severe cases.","Common treatments include corticosteroids, calcipotriene, methotrexate, and biologics like adalimumab.","Avoid harsh soaps, alcohol, smoking, and triggers like stress or certain medications.","Follow an anti-inflammatory diet rich in omega-3 fatty acids, fruits, vegetables, and whole grains.","Keep skin moisturized, avoid scratching, manage stress, and follow treatment consistently to prevent flare-ups.",
Impetigo,Topical or oral antibiotics like mupirocin or dicloxacillin to clear bacterial infection.,Common medications include mupirocin ointment and oral antibiotics such as cephalexin.,"Avoid sharing personal items, scratching, and using harsh soaps that irritate skin.",Maintain a balanced diet with adequate protein and vitamins to support skin healing.,"Practice good hygiene, keep affected areas clean and covered, and avoid close contact to prevent spread.",
Internal hemorrhoids,"Use topical creams, sitz baths, and minimally invasive procedures like rubber band ligation for relief.","Common medications include hydrocortisone creams, witch hazel, and stool softeners.","Avoid spicy foods, caffeine, and low-fiber diets that worsen constipation and irritation.",Eat a high-fiber diet with plenty of water to soften stools and prevent straining.,"Avoid prolonged sitting, practice good hygiene, and maintain regular bowel habits to prevent recurrence.",
External hemorrhoids,"Use topical creams, warm sitz baths, pain relievers, and in severe cases, surgical removal.","Common agents include hydrocortisone creams, witch hazel, and analgesics like lidocaine.","Avoid spicy foods, excessive caffeine, and low-fiber diets that worsen constipation and irritation.",Eat a high-fiber diet with plenty of water to soften stools and reduce straining.,"Avoid prolonged sitting or straining, maintain good hygiene, and exercise regularly to promote bowel health.",
Thrombosed hemorrhoids,"Pain relief with topical anesthetics, warm sitz baths, and sometimes surgical removal of the clot.","Use topical creams with lidocaine, hydrocortisone, and stool softeners like docusate sodium.","Avoid spicy foods, caffeine, and low-fiber diets that worsen constipation and irritation.",Eat a high-fiber diet with plenty of fluids to soften stools and prevent straining.,"Maintain good hygiene, avoid prolonged sitting, exercise regularly, and avoid straining during bowel movements.",
Hair loss,"Use minoxidil, finasteride, or platelet-rich plasma (PRP) therapy to stimulate hair growth.","Common treatments include minoxidil, finasteride, biotin supplements, and corticosteroid injections.","Avoid harsh chemicals, excessive heat styling, and tight hairstyles that damage hair follicles.","Eat a nutrient-rich diet with vitamins A, C, D, E, zinc, iron, and protein to support hair health.","Maintain scalp hygiene, reduce stress, avoid smoking, and protect hair from environmental damage.",
